wall
-90,5,5,0,5
-80,5,5,0,5
-70,5,5,0,5
-60,5,5,0,5
-50,5,5,0,5
-40,5,5,0,5
-30,5,5,0,5
-20,5,5,0,5
-10,5,5,0,5
0,5,5,0,5
10,5,5,0,5
20,5,5,0,5
30,5,5,0,5
40,5,5,0,5
50,5,5,0,5
60,5,5,0,5
70,5,5,0,5
80,5,5,0,5
90,5,5,0,5
-95.2,5,-9.8,270,5
-95.2,5,-19.8,270,5
-95.2,5,-29.8,270,5
-95.2,5,-39.8,270,5
-95.2,5,-49.8,270,5
-95.2,5,-59.8,270,5
-95.2,5,-69.8,270,5
-95.2,5,-79.8,270,5
-95.2,5,-89.8,270,5
-95.2,5,-99.8,270,5
-95.2,5,-109.8,270,5
-95.2,5,-119.8,270,5
-95.2,5,-129.8,270,5
-95.2,5,-139.8,270,5
-95.2,5,-149.8,270,5
104.8,5,-0.03,90,5
104.8,5,-10.03,90,5
104.8,5,-20.03,90,5
104.8,5,-30.03,90,5
104.8,5,-40.03,90,5
104.8,5,-50.03,90,5
104.8,5,-60.03,90,5
104.8,5,-70.03,90,5
104.8,5,-80.03,90,5
104.8,5,-90.03,90,5
104.8,5,-100.03,90,5
104.8,5,-110.03,90,5
104.8,5,-120.03,90,5
104.8,5,-130.03,90,5
104.8,5,-140.03,90,5
139.5,5,-154.6,180,5
119.5,5,-154.6,180,5
110.5,5,-154.6,180,5
98,5,-154.6,180,5
71.7,5,-154.6,180,5
55.5,5,-154.6,180,5
39.5,5,-154.6,180,5
29.5,5,-154.6,180,5
19.5,5,-154.6,180,5
9.5,5,-154.6,180,5
-1.5,5,-154.6,180,5
-11.5,5,-154.6,180,5
-21.5,5,-154.6,180,5
-31.5,5,-154.6,180,5
-41.5,5,-154.6,180,5
-51.5,5,-154.6,180,5
-61.5,5,-154.6,180,5
-71.5,5,-154.6,180,5
-81.5,5,-154.6,180,5
7,5,39.8,270,5
7,5,29.8,270,5
7,5,19.8,270,5
7,5,10.8,270,5
7,5,-7.8,270,5
7,5,-27.8,270,5
7,5,-47,270,5
7,5,-72.8,270,5
7,5,-89.8,270,5
-10,5,3.8,270,5
-10,5,-0.8,270,5
-10,5,-13.8,270,5
-10,5,-39.8,270,5
-24.8,5,-45,0,5
-34.8,5,-45,0,5
-40.8,5,-50,90,5
-40.8,5,-60,90,5
-40.8,5,-70,90,5
-40.8,5,-80,90,5
-55,5,-95,0,5
-65,5,-95,0,5
-75,5,-95,0,5
-85,5,-95,0,5
-95,5,-95,0,5
12,5,-95,0,5
22,5,-95,0,5
22,5,-95,0,5
32,5,-95,0,5
47,5,-95,0,5
55,5,-95,0,5
62.2,5,-95,0,5
88.2,5,-95,0,5
112,5,-95,0,5
60.8,5,-152.63,90,5
60.8,5,-126.33,90,5
55.8,5,-121.33,180,5
45.8,5,-121.33,180,5
35.8,5,-121.33,180,5
25.8,5,-121.33,180,5
15.8,5,-121.33,180,5
5.8,5,-121.33,180,5
-5.8,5,-121.33,180,5
-15.8,5,-121.33,180,5
-25.8,5,-121.33,180,5
-35.8,5,-121.33,180,5
-45.8,5,-121.33,180,5
-57.8,5,-121.33,180,5
-83.8,5,-121.33,180,5
-95.8,5,-121.33,180,5
-105.8,5,-121.33,180,5
-125.8,5,-121.33,180,5
door
80,0.1,-154.1,90,0.15
0,0.1,4.9,90,0.15
6.5,0.1,-55,180,0.15
-10.1,0.1,-21.6,180,0.15
80,0.1,-95,90,0.15
61,0.1,-144.1,180,0.15
-75.8,0.1,-121.33,90,0.15
key
-78.8,5,-145,90,0.55
